Date,Visitor,G,Home,G,Type,Attendance,LOG
18-01-24,Los Angeles Kings,2,Calgary Flames,1,OT,19004,02:39
18-01-24,Toronto Maple Leafs,3,Chicago Blackhawks,2,OT,21563,02:53
18-01-25,Winnipeg Jets,3,Anaheim Ducks,4,SO,17174,02:46
18-01-25,Columbus Blue Jackets,2,Arizona Coyotes,1,,12281,02:26
18-01-25,Toronto Maple Leafs,4,Dallas Stars,1,,18225,02:31
18-01-25,Chicago Blackhawks,5,Detroit Red Wings,1,,19515,02:21
18-01-25,Calgary Flames,3,Edmonton Oilers,4,SO,18347,02:58
18-01-25,Washington Capitals,4,Florida Panthers,2,,14033,02:32
18-01-25,Carolina Hurricanes,6,Montreal Canadiens,5,,21302,02:35
18-01-25,Nashville Predators,3,New Jersey Devils,0,,14039,02:20
18-01-25,Boston Bruins,3,Ottawa Senators,2,,15232,02:27
18-01-25,Tampa Bay Lightning,5,Philadelphia Flyers,1,,19489,02:29
18-01-25,Minnesota Wild,3,Pittsburgh Penguins,6,,18453,02:29
18-01-25,New York Rangers,6,San Jose Sharks,5,,17477,02:27
18-01-25,Colorado Avalanche,1,St. Louis Blues,3,,18817,02:28
18-01-25,Buffalo Sabres,4,Vancouver Canucks,0,,18340,02:23
18-01-25,New York Islanders,2,Vegas Knights,1,,18184,02:25
18-01-30,Anaheim Ducks,3,Boston Bruins,1,,17565,02:32
18-01-30,New Jersey Devils,3,Buffalo Sabres,1,,17460,02:22
18-01-30,Ottawa Senators,1,Carolina Hurricanes,2,,11448,02:23
18-01-30,Minnesota Wild,3,Columbus Blue Jackets,2,SO,17734,02:45
18-01-30,Vegas Knights,4,Calgary Flames,2,,19289,02:24
18-01-30,Los Angeles Kings,3,Dallas Stars,0,,17655,02:33
18-01-30,Chicago Blackhawks,2,Nashville Predators,1,,17172,02:29
18-01-30,Florida Panthers,4,New York Islanders,1,,10423,02:19
18-01-30,San Jose Sharks,2,Pittsburgh Penguins,5,,18469,02:35
18-01-30,Montreal Canadiens,1,St. Louis Blues,3,,18149,02:31
18-01-30,Colorado Avalanche,3,Vancouver Canucks,4,OT,18257,02:22
18-01-30,Tampa Bay Lightning,1,Winnipeg Jets,3,,15321,02:29
18-01-31,San Jose Sharks,1,Detroit Red Wings,2,SO,19515,02:46
18-01-31,New York Islanders,0,Toronto Maple Leafs,5,,19267,02:30
18-01-31,Philadelphia Flyers,3,Washington Capitals,5,,18506,02:32
18-02-01,Dallas Stars,4,Arizona Coyotes,1,,10998,02:35
18-02-01,St. Louis Blues,1,Boston Bruins,3,,17565,02:32
18-02-01,Florida Panthers,4,Buffalo Sabres,2,,16707,02:44
18-02-01,Montreal Canadiens,0,Carolina Hurricanes,2,,11953,02:23
18-02-01,Tampa Bay Lightning,7,Calgary Flames,4,,19000,02:38
18-02-01,Colorado Avalanche,4,Edmonton Oilers,3,OT,18347,02:30
18-02-01,Philadelphia Flyers,3,New Jersey Devils,4,,13906,02:33
18-02-01,Los Angeles Kings,0,Nashville Predators,5,,17384,02:33
18-02-01,Toronto Maple Leafs,4,New York Rangers,0,,18006,02:21
18-02-01,Anaheim Ducks,1,Ottawa Senators,2,OT,13759,02:32
18-02-01,Chicago Blackhawks,2,Vancouver Canucks,4,,18144,02:15
18-02-01,Vegas Knights,3,Winnipeg Jets,2,OT,15321,02:41
18-02-02,Detroit Red Wings,4,Carolina Hurricanes,1,,18126,02:21
18-02-02,San Jose Sharks,3,Columbus Blue Jackets,1,,16867,02:27
18-02-02,Vegas Knights,2,Minnesota Wild,5,,19057,02:27
18-02-02,Washington Capitals,4,Pittsburgh Penguins,7,,18652,02:32
18-02-03,Toronto Maple Leafs,1,Boston Bruins,4,,17565,02:31
18-02-03,St. Louis Blues,1,Buffalo Sabres,0,,18777,02:33
18-02-03,Chicago Blackhawks,3,Calgary Flames,4,OT,19289,02:32
18-02-03,Minnesota Wild,1,Dallas Stars,6,,18532,02:24
18-02-03,Detroit Red Wings,2,Florida Panthers,3,,17987,03:04
18-02-03,Arizona Coyotes,0,Los Angeles Kings,6,,18230,02:34
18-02-03,Anaheim Ducks,2,Montreal Canadiens,5,,21302,02:29
18-02-03,Pittsburgh Penguins,1,New Jersey Devils,3,,16514,02:29
18-02-03,New York Rangers,2,Nashville Predators,5,,17543,02:40
18-02-03,Columbus Blue Jackets,3,New York Islanders,4,,13597,02:36
18-02-03,Ottawa Senators,4,Philadelphia Flyers,3,SO,19729,02:49
18-02-03,Tampa Bay Lightning,4,Vancouver Canucks,2,,18865,02:26
18-02-03,Colorado Avalanche,0,Winnipeg Jets,3,,15321,02:26
18-02-04,San Jose Sharks,3,Carolina Hurricanes,1,,11614,02:19
18-02-04,Ottawa Senators,1,Montreal Canadiens,4,,21302,02:29
18-02-04,Vegas Knights,4,Washington Capitals,3,,18506,02:21
18-02-05,New York Rangers,1,Dallas Stars,2,,17543,02:33
18-02-05,Tampa Bay Lightning,2,Edmonton Oilers,6,,18347,02:27
18-02-05,Nashville Predators,5,New York Islanders,4,OT,10217,02:35
18-02-05,Anaheim Ducks,4,Toronto Maple Leafs,7,,19055,02:39
18-02-06,Anaheim Ducks,4,Buffalo Sabres,3,OT,16788,02:36
18-02-06,Philadelphia Flyers,2,Carolina Hurricanes,1,OT,11585,02:26
18-02-06,Washington Capitals,3,Columbus Blue Jackets,2,,16419,02:25
18-02-06,Calgary Flames,3,Chicago Blackhawks,2,,21480,02:43
18-02-06,San Jose Sharks,1,Colorado Avalanche,3,,13349,02:25
18-02-06,Boston Bruins,3,Detroit Red Wings,2,,19515,02:26
18-02-06,Vancouver Canucks,1,Florida Panthers,3,,10758,02:26
18-02-06,New Jersey Devils,3,Ottawa Senators,5,,13991,02:35
18-02-06,Vegas Knights,4,Pittsburgh Penguins,5,,18644,02:32
18-02-06,Minnesota Wild,6,St. Louis Blues,2,,17821,02:36
18-02-06,Arizona Coyotes,3,Winnipeg Jets,4,,15321,02:30
18-02-07,Edmonton Oilers,2,Los Angeles Kings,5,,18230,02:31
18-02-07,Boston Bruins,6,New York Rangers,1,,18006,02:21
18-02-07,Nashville Predators,2,Toronto Maple Leafs,3,SO,18878,02:49
18-02-08,New York Islanders,3,Buffalo Sabres,4,,16872,02:16
18-02-08,Dallas Stars,4,Chicago Blackhawks,2,,21422,02:28
18-02-08,Arizona Coyotes,4,Minnesota Wild,3,OT,18816,02:35
18-02-08,Calgary Flames,3,New Jersey Devils,2,,13085,02:24
18-02-08,Nashville Predators,3,Ottawa Senators,4,OT,14632,02:26
18-02-08,Montreal Canadiens,3,Philadelphia Flyers,5,,19655,02:26
18-02-08,Vegas Knights,5,San Jose Sharks,3,,17562,02:35
18-02-08,Colorado Avalanche,1,St. Louis Blues,6,,18951,02:31
18-02-08,Vancouver Canucks,2,Tampa Bay Lightning,5,,19092,02:25
18-02-09,Edmonton Oilers,2,Anaheim Ducks,3,,17174,02:26
18-02-09,Vancouver Canucks,1,Carolina Hurricanes,4,,13123,02:22
18-02-09,Pittsburgh Penguins,3,Dallas Stars,4,SO,18532,02:43
18-02-09,Los Angeles Kings,3,Florida Panthers,1,,14099,02:39
18-02-09,Detroit Red Wings,6,New York Islanders,7,OT,11847,02:42
18-02-09,Calgary Flames,3,New York Rangers,4,,18006,02:32
18-02-09,St. Louis Blues,5,Winnipeg Jets,2,,15321,02:19
18-02-09,Columbus Blue Jackets,2,Washington Capitals,4,,18506,02:27
18-02-10,Philadelphia Flyers,4,Arizona Coyotes,3,SO,13004,02:48
18-02-10,Buffalo Sabres,4,Boston Bruins,2,,17565,02:27
18-02-10,Colorado Avalanche,1,Carolina Hurricanes,3,,15589,02:21
18-02-10,New Jersey Devils,1,Columbus Blue Jackets,6,,18510,02:37
18-02-10,Chicago Blackhawks,0,Minnesota Wild,3,,19227,02:35
18-02-10,Nashville Predators,3,Montreal Canadiens,2,SO,21302,02:47
18-02-10,Edmonton Oilers,4,San Jose Sharks,6,,17562,02:21
18-02-10,Los Angeles Kings,3,Tampa Bay Lightning,4,,19092,02:32
18-02-10,Ottawa Senators,3,Toronto Maple Leafs,6,,19477,02:34
18-02-11,San Jose Sharks,3,Anaheim Ducks,2,SO,17435,02:47
18-02-11,Colorado Avalanche,5,Buffalo Sabres,4,,17646,02:27
18-02-11,Vancouver Canucks,6,Dallas Stars,0,,17889,02:36
18-02-11,Boston Bruins,5,New Jersey Devils,3,,16514,02:34
18-02-11,Calgary Flames,3,New York Islanders,2,,11192,02:31
18-02-11,Pittsburgh Penguins,4,St. Louis Blues,1,,18975,02:33
18-02-11,Philadelphia Flyers,4,Vegas Knights,1,,18220,02:32
18-02-11,New York Rangers,3,Winnipeg Jets,1,,15321,02:34
18-02-11,Detroit Red Wings,5,Washington Capitals,4,OT,18506,02:30
18-02-12,Chicago Blackhawks,1,Arizona Coyotes,6,,14357,02:29
18-02-12,Florida Panthers,7,Edmonton Oilers,5,,18347,02:39
18-02-12,Tampa Bay Lightning,3,Toronto Maple Leafs,4,,19112,02:31
18-02-13,Calgary Flames,2,Boston Bruins,5,,17565,02:33
18-02-13,Tampa Bay Lightning,3,Buffalo Sabres,5,,16530,02:35
18-02-13,Los Angeles Kings,3,Carolina Hurricanes,7,,12805,02:24
18-02-13,Anaheim Ducks,1,Detroit Red Wings,2,,19515,02:25
18-02-13,New York Rangers,2,Minnesota Wild,3,,18887,02:27
18-02-13,St. Louis Blues,3,Nashville Predators,4,OT,17221,02:40
18-02-13,Columbus Blue Jackets,4,New York Islanders,1,,10232,02:29
18-02-13,New Jersey Devils,5,Philadelphia Flyers,4,SO,19312,02:50
18-02-13,Ottawa Senators,3,Pittsburgh Penguins,6,,18448,02:35
18-02-13,Arizona Coyotes,2,San Jose Sharks,1,,17125,02:36
18-02-13,Chicago Blackhawks,2,Vegas Knights,5,,18085,02:30
18-02-13,Washington Capitals,3,Winnipeg Jets,4,OT,15321,02:35
18-02-14,Montreal Canadiens,0,Colorado Avalanche,2,,14928,02:23
18-02-14,Columbus Blue Jackets,3,Toronto Maple Leafs,6,,18890,02:36
18-02-14,Florida Panthers,4,Vancouver Canucks,3,,17412,02:31
18-02-15,Montreal Canadiens,2,Arizona Coyotes,5,,11489,02:24
18-02-15,Anaheim Ducks,3,Chicago Blackhawks,2,,21415,02:33
18-02-15,Washington Capitals,5,Minnesota Wild,2,,19027,02:37
18-02-15,Carolina Hurricanes,2,New Jersey Devils,5,,14079,02:21
18-02-15,Calgary Flames,4,Nashville Predators,3,,17326,02:45
18-02-15,New York Rangers,0,New York Islanders,3,,15795,02:27
18-02-15,Buffalo Sabres,2,Ottawa Senators,3,OT,13371,02:29
18-02-15,Los Angeles Kings,1,Pittsburgh Penguins,3,,18604,02:25
18-02-15,Vancouver Canucks,1,San Jose Sharks,4,,17274,02:22
18-02-15,Detroit Red Wings,1,Tampa Bay Lightning,4,,19092,02:31
18-02-15,Edmonton Oilers,1,Vegas Knights,4,,18030,02:29
18-02-16,New York Islanders,3,Carolina Hurricanes,0,,15448,02:24
18-02-16,Philadelphia Flyers,2,Columbus Blue Jackets,1,OT,17364,02:25
18-02-16,St. Louis Blues,1,Dallas Stars,2,,18532,02:30
18-02-16,Colorado Avalanche,1,Winnipeg Jets,6,,15321,02:31
18-02-17,Edmonton Oilers,0,Arizona Coyotes,1,,16304,02:27
18-02-17,Los Angeles Kings,4,Buffalo Sabres,2,,18632,02:22
18-02-17,Florida Panthers,6,Calgary Flames,3,,19289,02:42
18-02-17,Washington Capitals,1,Chicago Blackhawks,7,,22066,02:26
18-02-17,Anaheim Ducks,3,Minnesota Wild,2,SO,19192,02:50
18-02-17,Detroit Red Wings,3,Nashville Predators,1,,17561,02:34
18-02-17,New York Rangers,3,Ottawa Senators,6,,17259,02:30
18-02-17,Toronto Maple Leafs,3,Pittsburgh Penguins,5,,18647,02:37
18-02-17,New Jersey Devils,4,Tampa Bay Lightning,3,,19092,02:33
18-02-17,Boston Bruins,1,Vancouver Canucks,6,,18865,02:28
18-02-17,Montreal Canadiens,3,Vegas Knights,6,,18122,02:26
18-02-18,New Jersey Devils,3,Carolina Hurricanes,2,OT,18680,02:30
18-02-18,Pittsburgh Penguins,5,Columbus Blue Jackets,2,,19100,02:22
18-02-18,Edmonton Oilers,4,Colorado Avalanche,2,,18076,02:25
18-02-18,Toronto Maple Leafs,3,Detroit Red Wings,2,,19515,02:33
18-02-18,Philadelphia Flyers,7,New York Rangers,4,,18006,02:33
18-02-18,Dallas Stars,2,San Jose Sharks,5,,17562,02:20
18-02-18,Florida Panthers,2,Winnipeg Jets,7,,15321,02:40
18-02-19,Washington Capitals,3,Buffalo Sabres,2,,18228,02:37
18-02-19,Boston Bruins,2,Calgary Flames,1,OT,19289,02:35
18-02-19,Los Angeles Kings,3,Chicago Blackhawks,1,,21339,02:30
18-02-19,Ottawa Senators,2,Nashville Predators,5,,17177,02:35
18-02-19,Minnesota Wild,5,New York Islanders,3,,15342,02:33
18-02-19,Anaheim Ducks,2,Vegas Knights,0,,18267,02:35
18-02-20,Nashville Predators,3,Detroit Red Wings,2,,19515,02:32
18-02-20,Boston Bruins,3,Edmonton Oilers,2,,18347,02:29
18-02-20,Columbus Blue Jackets,2,New Jersey Devils,1,,14024,02:17
18-02-20,Montreal Canadiens,2,Philadelphia Flyers,3,OT,19336,02:26
18-02-20,San Jose Sharks,3,St. Louis Blues,2,,17297,02:26
18-02-20,Florida Panthers,0,Toronto Maple Leafs,1,,18961,02:32
18-02-20,Colorado Avalanche,5,Vancouver Canucks,4,OT,18107,02:34
18-02-20,Los Angeles Kings,4,Winnipeg Jets,3,,15321,02:32
18-02-20,Tampa Bay Lightning,4,Washington Capitals,2,,18506,02:23
18-02-21,Dallas Stars,0,Anaheim Ducks,2,,16609,02:30
18-02-21,Ottawa Senators,2,Chicago Blackhawks,3,SO,21532,03:11
18-02-21,Calgary Flames,3,Vegas Knights,7,,18014,02:44
18-02-22,Calgary Flames,5,Arizona Coyotes,2,,11904,02:30
18-02-22,Buffalo Sabres,3,Detroit Red Wings,2,OT,19515,02:41
18-02-22,Colorado Avalanche,2,Edmonton Oilers,3,OT,18347,02:23
18-02-22,Washington Capitals,2,Florida Panthers,3,,15312,02:32
18-02-22,Dallas Stars,2,Los Angeles Kings,0,,18230,02:32
18-02-22,New York Rangers,1,Montreal Canadiens,3,,21302,02:26
18-02-22,Minnesota Wild,4,New Jersey Devils,2,,13316,02:27
18-02-22,San Jose Sharks,1,Nashville Predators,7,,17354,02:35
18-02-22,Tampa Bay Lightning,4,Ottawa Senators,3,,16204,02:34
18-02-22,Columbus Blue Jackets,1,Philadelphia Flyers,2,,19727,02:24
18-02-22,New York Islanders,3,Toronto Maple Leafs,4,SO,18856,02:40
18-02-23,Pittsburgh Penguins,6,Carolina Hurricanes,1,,18180,02:27
18-02-23,San Jose Sharks,1,Chicago Blackhawks,3,,21906,02:36
18-02-23,Minnesota Wild,4,New York Rangers,1,,18006,02:20
18-02-23,Winnipeg Jets,4,St. Louis Blues,0,,18912,02:28
18-02-23,Vancouver Canucks,3,Vegas Knights,6,,18207,02:24
18-02-24,Anaheim Ducks,0,Arizona Coyotes,2,,11959,02:21
18-02-24,Chicago Blackhawks,2,Columbus Blue Jackets,3,,18792,02:24
18-02-24,Colorado Avalanche,1,Calgary Flames,5,,19201,02:27
18-02-24,Winnipeg Jets,5,Dallas Stars,3,,18532,02:42
18-02-24,Carolina Hurricanes,1,Detroit Red Wings,3,,19515,02:34
18-02-24,Pittsburgh Penguins,5,Florida Panthers,6,,17581,02:34
18-02-24,Edmonton Oilers,4,Los Angeles Kings,3,,18230,02:35
18-02-24,Tampa Bay Lightning,4,Montreal Canadiens,3,SO,21302,02:46
18-02-24,New York Islanders,1,New Jersey Devils,2,,16514,02:27
18-02-24,Philadelphia Flyers,5,Ottawa Senators,3,,16128,02:24
18-02-24,Boston Bruins,3,Toronto Maple Leafs,4,,19370,02:35
18-02-24,Buffalo Sabres,1,Washington Capitals,5,,18506,02:25
18-02-25,Edmonton Oilers,6,Anaheim Ducks,5,SO,17174,02:44
18-02-25,Vancouver Canucks,3,Arizona Coyotes,1,,10935,02:24
18-02-25,Boston Bruins,1,Buffalo Sabres,4,,18522,02:28
18-02-25,San Jose Sharks,2,Minnesota Wild,3,OT,19105,02:35
18-02-25,St. Louis Blues,0,Nashville Predators,4,,17523,02:20
18-02-25,Detroit Red Wings,3,New York Rangers,2,OT,18006,02:48
18-02-26,Washington Capitals,1,Columbus Blue Jackets,5,,17386,02:28
18-02-26,Vancouver Canucks,1,Colorado Avalanche,3,,12654,02:28
18-02-26,Vegas Knights,2,Los Angeles Kings,3,OT,18230,02:37
18-02-26,Philadelphia Flyers,1,Montreal Canadiens,0,SO,21302,02:52
18-02-26,Toronto Maple Leafs,3,Tampa Bay Lightning,4,SO,19092,02:50
18-02-27,Carolina Hurricanes,3,Boston Bruins,4,OT,17565,02:31
18-02-27,Calgary Flames,0,Dallas Stars,2,,17124,02:32
18-02-27,Toronto Maple Leafs,2,Florida Panthers,3,OT,14265,02:37
18-02-27,St. Louis Blues,3,Minnesota Wild,8,,19261,02:29
18-02-27,New Jersey Devils,3,Pittsburgh Penguins,2,,18581,02:35
18-02-27,Edmonton Oilers,2,San Jose Sharks,5,,17327,02:26
18-02-27,Los Angeles Kings,4,Vegas Knights,1,,18328,02:44
18-02-27,Nashville Predators,6,Winnipeg Jets,5,,15321,02:34
18-02-27,Ottawa Senators,2,Washington Capitals,3,,18506,02:31
18-02-28,Calgary Flames,2,Colorado Avalanche,5,,12107,02:31
18-02-28,New York Islanders,1,Montreal Canadiens,3,,21302,02:13
18-02-28,Detroit Red Wings,1,St. Louis Blues,2,,18813,02:30
18-02-28,Buffalo Sabres,2,Tampa Bay Lightning,1,OT,19092,02:26
18-02-28,New York Rangers,6,Vancouver Canucks,5,OT,18044,02:31
18-03-01,Minnesota Wild,3,Arizona Coyotes,5,,10904,02:28
18-03-01,Pittsburgh Penguins,4,Boston Bruins,8,,17565,02:49
18-03-01,Tampa Bay Lightning,5,Dallas Stars,4,OT,17337,02:44
18-03-01,Nashville Predators,4,Edmonton Oilers,2,,18347,02:25
18-03-01,New Jersey Devils,2,Florida Panthers,3,,10846,02:31
18-03-01,Columbus Blue Jackets,2,Los Angeles Kings,5,,18230,02:25
18-03-01,Carolina Hurricanes,4,Philadelphia Flyers,1,,19245,02:21
18-03-01,Chicago Blackhawks,2,San Jose Sharks,7,,17086,02:26
18-03-02,Columbus Blue Jackets,2,Anaheim Ducks,4,,16447,02:37
18-03-02,New Jersey Devils,1,Carolina Hurricanes,3,,14337,02:26
18-03-02,New York Rangers,3,Calgary Flames,1,,19143,02:36
18-03-02,Minnesota Wild,1,Colorado Avalanche,7,,17325,02:31
18-03-02,Buffalo Sabres,1,Florida Panthers,4,,12759,02:31
18-03-02,Montreal Canadiens,6,New York Islanders,3,,10685,02:27
18-03-02,Nashville Predators,4,Vancouver Canucks,3,OT,18470,02:36
18-03-02,Ottawa Senators,5,Vegas Knights,4,,18269,02:30
18-03-02,Detroit Red Wings,3,Winnipeg Jets,4,,15321,02:33
18-03-03,Ottawa Senators,1,Arizona Coyotes,2,,10955,02:23
18-03-03,Montreal Canadiens,1,Boston Bruins,2,OT,17565,02:41
18-03-03,St. Louis Blues,2,Dallas Stars,3,OT,18321,02:48
18-03-03,New York Rangers,3,Edmonton Oilers,2,,18347,02:29
18-03-03,Chicago Blackhawks,5,Los Angeles Kings,3,,18230,02:31
18-03-03,New York Islanders,2,Pittsburgh Penguins,3,OT,18661,02:31
18-03-03,Philadelphia Flyers,6,Tampa Bay Lightning,7,SO,19092,02:49
18-03-03,Toronto Maple Leafs,2,Washington Capitals,5,,29516,02:47
18-03-04,Chicago Blackhawks,3,Anaheim Ducks,6,,16989,02:24
18-03-04,Winnipeg Jets,3,Carolina Hurricanes,2,,11407,02:12
18-03-04,Nashville Predators,4,Colorado Avalanche,3,OT,17618,02:33
18-03-04,Philadelphia Flyers,1,Florida Panthers,4,,14428,02:27
18-03-04,Detroit Red Wings,1,Minnesota Wild,4,,19037,02:26
18-03-04,Vegas Knights,3,New Jersey Devils,2,,16514,02:31
18-03-04,Columbus Blue Jackets,4,San Jose Sharks,2,,17211,02:25
18-03-05,Toronto Maple Leafs,3,Buffalo Sabres,5,,18705,02:34
18-03-05,Ottawa Senators,3,Dallas Stars,2,OT,17110,02:38
18-03-05,Arizona Coyotes,3,Edmonton Oilers,4,OT,18347,02:29
18-03-05,Calgary Flames,3,Pittsburgh Penguins,4,OT,18630,02:35
18-03-05,New York Islanders,3,Vancouver Canucks,4,OT,17307,02:30
18-03-06,Washington Capitals,0,Anaheim Ducks,4,,15910,02:27
18-03-06,Detroit Red Wings,5,Boston Bruins,6,OT,17565,02:43
18-03-06,Vegas Knights,1,Columbus Blue Jackets,4,,17402,02:35
18-03-06,Colorado Avalanche,1,Chicago Blackhawks,2,OT,21508,02:25
18-03-06,Carolina Hurricanes,2,Minnesota Wild,6,,19017,02:29
18-03-06,Montreal Canadiens,4,New Jersey Devils,6,,14586,02:36
18-03-06,Dallas Stars,0,Nashville Predators,2,,17342,02:35
18-03-06,Winnipeg Jets,3,New York Rangers,0,,18006,02:26
18-03-06,Florida Panthers,4,Tampa Bay Lightning,5,OT,19092,02:39
18-03-07,Calgary Flames,5,Buffalo Sabres,1,,17773,02:20
18-03-07,Pittsburgh Penguins,5,Philadelphia Flyers,2,,19624,02:28
18-03-07,Arizona Coyotes,2,Vancouver Canucks,1,,17742,02:19
18-03-08,Philadelphia Flyers,2,Boston Bruins,3,,17565,02:33
18-03-08,Colorado Avalanche,4,Columbus Blue Jackets,5,OT,15236,02:29
18-03-08,Carolina Hurricanes,3,Chicago Blackhawks,2,,21681,02:21
18-03-08,Vegas Knights,4,Detroit Red Wings,0,,19515,02:19
18-03-08,New York Islanders,1,Edmonton Oilers,2,SO,18347,02:42
18-03-08,Montreal Canadiens,0,Florida Panthers,5,,14901,02:43
18-03-08,Washington Capitals,1,Los Angeles Kings,3,,18230,02:29
18-03-08,Winnipeg Jets,3,New Jersey Devils,2,,14023,02:33
18-03-08,Anaheim Ducks,2,Nashville Predators,4,,17475,02:25
18-03-08,Buffalo Sabres,4,Ottawa Senators,3,SO,13377,02:38
18-03-08,St. Louis Blues,0,San Jose Sharks,2,,17400,02:20
18-03-08,New York Rangers,3,Tampa Bay Lightning,5,,19092,02:36
18-03-09,Detroit Red Wings,2,Columbus Blue Jackets,3,,17284,02:23
18-03-09,Anaheim Ducks,1,Dallas Stars,2,,18532,02:29
18-03-09,Calgary Flames,2,Ottawa Senators,1,,14498,02:29
18-03-09,Minnesota Wild,5,Vancouver Canucks,2,,17918,02:28
18-03-10,Chicago Blackhawks,4,Boston Bruins,7,,17565,02:33
18-03-10,Vegas Knights,2,Buffalo Sabres,1,SO,19070,02:41
18-03-10,Arizona Coyotes,2,Colorado Avalanche,5,,17127,02:37
18-03-10,Minnesota Wild,1,Edmonton Oilers,4,,18347,02:22
18-03-10,New York Rangers,3,Florida Panthers,4,SO,16712,02:44
18-03-10,St. Louis Blues,7,Los Angeles Kings,2,,18230,02:34
18-03-10,New Jersey Devils,3,Nashville Predators,2,SO,17545,02:51
18-03-10,Winnipeg Jets,1,Philadelphia Flyers,2,,19929,02:23
18-03-10,Washington Capitals,2,San Jose Sharks,0,,17562,02:17
18-03-10,Montreal Canadiens,2,Tampa Bay Lightning,3,SO,19092,02:46
18-03-10,Pittsburgh Penguins,2,Toronto Maple Leafs,5,,19504,02:41
18-03-11,Vancouver Canucks,0,Arizona Coyotes,1,,11697,02:22
18-03-11,New York Islanders,5,Calgary Flames,2,,19108,02:37
18-03-11,Boston Bruins,1,Chicago Blackhawks,3,,21819,02:27
18-03-11,Dallas Stars,1,Pittsburgh Penguins,3,,18637,02:29
18-03-12,St. Louis Blues,4,Anaheim Ducks,2,,16312,02:16
18-03-12,Montreal Canadiens,2,Columbus Blue Jackets,5,,15864,02:25
18-03-12,Ottawa Senators,5,Florida Panthers,3,,11585,02:42
18-03-12,Vancouver Canucks,0,Los Angeles Kings,3,,18230,02:28
18-03-12,Carolina Hurricanes,3,New York Rangers,6,,17679,02:35
18-03-12,Vegas Knights,3,Philadelphia Flyers,2,,19723,02:28
18-03-12,Detroit Red Wings,3,San Jose Sharks,5,,17199,02:25
18-03-12,Winnipeg Jets,2,Washington Capitals,3,OT,18506,02:43
18-03-13,Los Angeles Kings,3,Arizona Coyotes,4,SO,11346,02:52
18-03-13,Boston Bruins,6,Carolina Hurricanes,4,,13081,02:40
18-03-13,Edmonton Oilers,0,Calgary Flames,1,,19289,02:23
18-03-13,Colorado Avalanche,5,Minnesota Wild,1,,19171,02:32
18-03-13,Dallas Stars,2,Montreal Canadiens,4,,21302,02:40
18-03-13,Winnipeg Jets,1,Nashville Predators,3,,17534,02:47
18-03-13,Ottawa Senators,7,Tampa Bay Lightning,4,,19092,02:36
18-03-14,Vancouver Canucks,0,Anaheim Ducks,3,,16561,02:26
18-03-14,San Jose Sharks,4,Edmonton Oilers,3,OT,18347,02:36
18-03-14,Pittsburgh Penguins,3,New York Rangers,4,OT,17379,02:30
18-03-14,Dallas Stars,5,Toronto Maple Leafs,6,SO,18918,02:50
18-03-14,New Jersey Devils,8,Vegas Knights,3,,18420,02:32
18-03-15,Nashville Predators,3,Arizona Coyotes,2,,14527,02:31
18-03-15,Toronto Maple Leafs,5,Buffalo Sabres,2,,19070,02:30
18-03-15,Boston Bruins,0,Florida Panthers,3,,16067,02:35
18-03-15,Detroit Red Wings,1,Los Angeles Kings,4,,18230,02:29
18-03-15,Pittsburgh Penguins,5,Montreal Canadiens,3,,21302,02:27
18-03-15,Washington Capitals,7,New York Islanders,3,,10740,02:27
18-03-15,Columbus Blue Jackets,5,Philadelphia Flyers,3,,19354,02:24
18-03-15,Colorado Avalanche,4,St. Louis Blues,1,,18885,02:22
18-03-15,Chicago Blackhawks,2,Winnipeg Jets,6,,15321,02:29
18-03-16,Detroit Red Wings,2,Anaheim Ducks,4,,17243,02:40
18-03-16,San Jose Sharks,7,Calgary Flames,4,,19196,02:35
18-03-16,Nashville Predators,4,Colorado Avalanche,2,,17273,02:25
18-03-16,Dallas Stars,2,Ottawa Senators,3,OT,15842,02:35
18-03-16,Minnesota Wild,4,Vegas Knights,2,,18295,02:25
18-03-16,New York Islanders,3,Washington Capitals,6,,18506,02:40
18-03-17,Minnesota Wild,3,Arizona Coyotes,1,,13735,02:25
18-03-17,Chicago Blackhawks,3,Buffalo Sabres,5,,19070,02:30
18-03-17,Philadelphia Flyers,4,Carolina Hurricanes,2,,14805,02:22
18-03-17,Ottawa Senators,1,Columbus Blue Jackets,2,,17612,02:21
18-03-17,Edmonton Oilers,4,Florida Panthers,2,,14192,02:29
18-03-17,New Jersey Devils,3,Los Angeles Kings,0,,18230,02:33
18-03-17,New York Rangers,3,St. Louis Blues,4,OT,18975,02:36
18-03-17,Boston Bruins,3,Tampa Bay Lightning,0,,19092,02:22
18-03-17,Montreal Canadiens,0,Toronto Maple Leafs,4,,19364,02:33
18-03-17,San Jose Sharks,5,Vancouver Canucks,3,,18332,02:32
18-03-18,New Jersey Devils,2,Anaheim Ducks,4,,16401,02:34
18-03-18,St. Louis Blues,5,Chicago Blackhawks,4,OT,21687,02:43
18-03-18,Detroit Red Wings,1,Colorado Avalanche,5,,18032,02:30
18-03-18,Carolina Hurricanes,4,New York Islanders,3,,10688,02:29
18-03-18,Washington Capitals,3,Philadelphia Flyers,6,,19687,02:31
18-03-18,Edmonton Oilers,1,Tampa Bay Lightning,3,,19092,02:23
18-03-18,Calgary Flames,0,Vegas Knights,4,,18075,02:28
18-03-18,Dallas Stars,2,Winnipeg Jets,4,,15321,02:31
